15,745486,True,9,9
7,486,True,7,7
9,3592,True,4,4
9,3592,True,13,13
10,9225,True,7,7
9,3592,True,11,11
6,165,True,12,12
12,56331,True,6,6
15,745486,True,3,3
4,15,True,13,13
15,745486,True,4,4
2,1,True,10,10
13,135180,True,7,7
9,3592,True,6,6
4,15,True,10,10
8,1351,True,6,6
13,135180,True,3,3
5,52,True,7,7
11,23050,True,11,11
4,15,True,7,7
14,319501,True,4,4
6,165,True,4,4
15,745486,True,8,8
16,1720335,True,8,8
14,319501,True,11,11
3,4,True,7,7
9,3592,True,5,5
2,1,True,9,9
4,15,True,7,7
3,4,True,6,6
11,23050,True,4,4
3,4,True,6,6
5,52,True,9,9
10,9225,True,9,9
8,1351,True,8,8
13,135180,True,10,10
3,4,True,6,6
15,745486,True,7,7
2,1,True,4,4
12,56331,True,9,9
12,56331,True,9,9
8,1351,True,13,13
14,319501,True,9,9
13,135180,True,8,8
14,319501,True,9,9
5,52,True,11,11
2,1,True,7,7
10,9225,True,7,7
11,23050,True,8,8
8,1351,True,15,15
6,165,True,10,10
11,23050,True,12,12
16,1720335,True,4,4
6,165,True,11,11
13,135180,True,8,8
6,165,True,10,10
2,1,True,4,4
12,56331,True,7,7
13,135180,True,6,6
15,745486,True,7,7
9,3592,True,6,6
3,4,True,7,7
15,745486,True,6,6
6,165,True,4,4
5,52,True,8,8
11,23050,True,9,9
3,4,True,10,10
15,745486,True,9,9
15,745486,True,8,8
8,1351,True,8,8
11,23050,True,10,10
14,319501,True,6,6
8,1351,True,7,7
16,1720335,True,9,9
11,23050,True,8,8
3,4,True,11,11
16,1720335,True,9,9
10,9225,True,8,8
9,3592,True,9,9
6,165,True,9,9
11,23050,True,9,9
4,15,True,9,9
16,1720335,True,6,6
8,1351,True,10,10
4,15,True,16,16
8,1351,True,10,10
15,745486,True,8,8
8,1351,True,16,16
15,745486,True,6,6
15,745486,True,12,12
6,165,True,8,8
16,1720335,True,4,4
9,3592,True,10,10
12,56331,True,13,13
6,165,True,8,8
8,1351,True,8,8
4,15,True,7,7
8,1351,True,6,6
16,1720335,True,11,11
6,165,True,3,3
